,Kingdom,Phylum,Class,Order,Family,Genus,Species
Bac195,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac196,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac197,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac198,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac199,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac200,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac201,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac202,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac203,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac204,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac205,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_sp.
Bac206,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_sp.
Bac207,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac208,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac209,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac210,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac211,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac212,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_sediminis
Bac213,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac214,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac215,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_sediminis
Bac216,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac217,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac218,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,NA,NA
Bac219,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,NA,NA
Bac220,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,NA,NA
Bac221,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac222,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,NA,NA
Bac223,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,NA,NA
Bac224,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac225,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac226,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac227,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured_bacterium
Bac228,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured_bacterium
Bac229,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,NA
Bac230,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,NA
Bac231,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,NA
Bac232,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,Algoriphagus_sp.
Bac233,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,Algoriphagus_sp.
Bac234,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac235,d__Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Bac236,d__Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Bac237,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac238,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,NA
Bac239,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac240,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac241,d__Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Bac242,d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_bacterium
Bac243,d__Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Bac244,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac245,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac246,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac247,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac248,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac249,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac250,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Thermoflexibacter,uncultured_Flexibacter
Bac251,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Thermoflexibacter,uncultured_Flexibacter
Bac252,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Thermoflexibacter,uncultured_Flexibacter
Bac253,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Thermoflexibacter,NA
Bac254,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Thermoflexibacter,NA
Bac255,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac256,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac257,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac258,d__Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Bac259,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,NA
Bac260,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,NA
Bac261,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,metagenome
Bac262,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,uncultured_Runella
Bac263,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,Runella_sp.
Bac264,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,Runella_sp.
Bac265,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,Runella_sp.
Bac266,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,Runella_sp.
Bac267,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,NA
Bac268,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,NA
Bac269,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,Runella_palustris
Bac270,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,NA
Bac271,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,NA
Bac272,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,NA
Bac273,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,NA
Bac274,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,NA
Bac275,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Rudanella,uncultured_bacterium
Bac276,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Rudanella,uncultured_bacterium
Bac277,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella,uncultured_bacterium
Bac278,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella,uncultured_bacterium
Bac279,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella,uncultured_bacterium
Bac280,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,uncultured_bacterium
