"SampleID","Site","Type","Order.q","qD","qD.LCL","qD.UCL","SC_star"
"Euk_124","1","tile_l",1,21.2700401577411,20.9315490531671,21.608531262315,0.999
"Euk_124","1","tile_l",2,17.7794372188932,17.3478542168626,18.2110202209238,0.999
"Euk_126","1","tile_l",0,26.2921217912603,24.7348209721258,27.8494226103949,0.999
"Euk_126","1","tile_l",1,16.1744479572398,15.8875074951661,16.4613884193135,0.999
"Euk_126","1","tile_l",2,13.5901727185966,13.2642377991774,13.9161076380158,0.999
"Euk_127","1","tile_l",0,46.341811484157,44.387680768375,48.295942199939,0.999
"Euk_127","1","tile_l",1,22.1779996118646,21.8213145456633,22.534684678066,0.999
"Euk_127","1","tile_l",2,17.353080412515,16.9671952274632,17.7389655975667,0.999
"Euk_026","4","sediment_5",0,62.2860308388751,59.4085690147257,65.1634926630245,0.999
"Euk_026","4","sediment_5",1,27.2496607355564,26.795800383359,27.7035210877537,0.999
"Euk_026","4","sediment_5",2,21.1460285914226,20.648770924022,21.6432862588231,0.999
"Euk_056","4","tile_l",0,135.137934637662,132.240366364877,138.035502910448,0.999
"Euk_056","4","tile_l",1,52.8484111396401,52.1699040144573,53.526918264823,0.999
"Euk_056","4","tile_l",2,36.5337761803166,35.8005825044561,37.2669698561772,0.999
"Euk_057","4","tile_l",0,170.001753111154,165.955190440877,174.048315781431,0.999
"Euk_057","4","tile_l",1,66.8652346807218,66.0857027676787,67.6447665937648,0.999
"Euk_057","4","tile_l",2,47.836720743146,46.987953289441,48.6854881968509,0.999
"Euk_058","4","tile_l",0,55.6430177124443,54.0330865940487,57.2529488308398,0.999
"Euk_058","4","tile_l",1,29.8466999336123,29.3853450973864,30.3080547698383,0.999
"Euk_058","4","tile_l",2,23.0485111675605,22.4956078965083,23.6014144386126,0.999
"Euk_060","4","tile_l",0,54.1281771023313,52.1138664292362,56.1424877754264,0.999
"Euk_060","4","tile_l",1,28.5003481992646,28.0326593594044,28.9680370391247,0.999
"Euk_060","4","tile_l",2,23.1096548255517,22.6339291321483,23.585380518955,0.999
"Euk_061","4","sediment_5",0,17.4953451889994,16.6534041643384,18.3372862136603,0.999
"Euk_061","4","sediment_5",1,10.4323714398886,10.1114439153949,10.7532989643824,0.999
"Euk_061","4","sediment_5",2,8.04898279610569,7.69687490680265,8.40109068540873,0.999
"Euk_062","4","tile_l",0,132.39765912906,128.583606228936,136.211712029185,0.999
"Euk_062","4","tile_l",1,54.4153618760004,53.7610323719498,55.0696913800511,0.999
"Euk_062","4","tile_l",2,41.5228599166244,40.8606297062457,42.1850901270031,0.999
"Euk_063","4","tile_l",0,99.5821570407773,97.6327193730786,101.531594708476,0.999
"Euk_063","4","tile_l",1,48.5928231882071,47.9195724856533,49.2660738907608,0.999
"Euk_063","4","tile_l",2,37.3621291182066,36.6346335979202,38.089624638493,0.999
"Euk_075","4","sediment_20",0,18.2761713304243,17.7081381529952,18.8442045078534,0.999
"Euk_075","4","sediment_20",1,12.0266514629602,11.7778889117533,12.2754140141672,0.999
"Euk_075","4","sediment_20",2,10.5364189777083,10.293140442467,10.7796975129496,0.999
"Euk_084","4","sediment_5",0,69.1009031938823,67.0324923108741,71.1693140768906,0.999
"Euk_084","4","sediment_5",1,28.66150208396,28.0481443338719,29.274859834048,0.999
"Euk_084","4","sediment_5",2,20.4627564512888,19.8115359810612,21.1139769215163,0.999
"Euk_087","4","sediment_5",0,55.6681394442677,53.4873654706397,57.8489134178957,0.999
"Euk_087","4","sediment_5",1,28.2605185917369,27.8592060303808,28.661831153093,0.999
"Euk_087","4","sediment_5",2,22.8849498692942,22.4511628401986,23.3187368983899,0.999
"Euk_089","4","sediment_5",0,156.719341456234,151.797767228956,161.640915683512,0.999
"Euk_089","4","sediment_5",1,52.3164216580855,51.6037996904896,53.0290436256814,0.999
