"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"9c1ebd73953e090f2bb17e567b078913","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"93523ec30e7cc551a0abad9077af9921","d__Eukaryota","Apicomplexa","Conoidasida","Gregarinasina","Eugregarinorida","Ascogregarina",NA
"cec14987f76c1c7ee7c1ce23a10822bb","d__Eukaryota","Diatomea",NA,NA,NA,NA,NA
"e74745a0b989ac76b64dca4eaca17e1e","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"28ad14dca051359ffd03014e719e9cd8","d__Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"fd3a8425d9bb2c32943dbcb47d8a23bb","d__Eukaryota","Diatomea",NA,NA,NA,NA,NA
"b459a7138b2fa346b463fa4b166ba6a4","d__Eukaryota","Chlorophyta","Ulvophyceae","Ulvophyceae","Ulvophyceae","Ulvophyceae",NA
"57a1a42a831609e9ab81ab897c224433","d__Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Gomphonema",NA
"ef09bf89410ff8bea3fbfa758a6d5cca","d__Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","uncultured_bacterium"
"6b59b243ee31a9e998b3e5374a231f79","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales",NA,NA,NA
"5a3bb45001a0e4d68de4c03e6c874d7c","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"31de9da85fc9bc3caf2628c94e57f54b","d__Eukaryota","Apicomplexa","Conoidasida","Gregarinasina","Eugregarinorida","Ascogregarina",NA
"810d388b3f3670b38bf88b2e9de23b0e","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"c765846fff12a2fe7b4fd776dd821b6f","d__Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"356a3df91fcf5477a26010c15156695a","d__Eukaryota","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA
"4e09782b0c0f8186c7405c1f23d071d6","d__Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","uncultured_bacterium"
"6aed2390de9fbea2cbd10f706eca8352","d__Eukaryota","Diatomea",NA,NA,NA,NA,NA
"eb7ab50a9350589ef7135a7902c3b56d","d__Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","invertebrate_environmental"
"c6b619196ce46e188162e7383c34bb54","d__Eukaryota","Vertebrata","Mammalia","Mammalia","Mammalia","Mammalia",NA
"cb6129f86fb8626fe960499435dbd788","d__Eukaryota","Ochrophyta","Chrysophyceae","Chrysophyceae","Chrysophyceae","Chrysophyceae",NA
"5374efda03dff0f56b9ef06de0d46404","d__Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","uncultured_bacterium"
"c05299eac0561e48f69e7032f733603c","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV114","uncultured_Crater"
"a98b168e57f51c076b85bcc8faf9edd0","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"c261d8858c7c1a2dd670277ba5842b9a","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"651f03b5a8d26912329705b2351f98d5","d__Eukaryota","Diatomea",NA,NA,NA,NA,NA
"0947a987761b8d565260b2e079266192","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"f85331f30ceaa0af343e1c5d77c584da","d__Eukaryota","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA
"1c82304bcc3e21ebab9e4a3d57560f13","d__Eukaryota","Diatomea",NA,NA,NA,NA,NA
"a1071998f16bf362054c6bb72d1671f5","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA
"03c029cd240d66e5ba2166259b481381","d__Eukaryota",NA,NA,NA,NA,NA,NA
"fcd5a37af34ca126bd5115bb7d9b70be","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"4f57280dcca3ce578c82140dd7aa3375","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter","Prosthecobacter_vanneervenii"
"fe9ec649fca1830689324540665f137f","d__Eukaryota","Arthropoda","Insecta","Plecoptera","Plecoptera","Plecoptera","Bolotoperla_rossi"
"fe9c2ebb07c5b0dfb3cb2599351008cb","d__Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured_bacterium"
"5a49bf5d0729d064bf182199c33f73a4","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"20c8c8b93faf646f4146eeba74d73269","d__Eukaryota","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales","Mychonastes","uncultured_Chlorophyta"
"65ef353257ef1a4f1dcda2898bcc2760","d__Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Gomphonema",NA
"6f1a5db3ddac2d052328451ad96334e4","d__Eukaryota","Apicomplexa","Conoidasida","Gregarinasina","Eugregarinorida","Ascogregarina",NA
"2c98a52240e6ea580afa7983777174dc","d__Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Sellaphora",NA
"f307d1da0ffcab2164c468cef55815ab","d__Eukaryota",NA,NA,NA,NA,NA,NA
"8bd51dc6a3839b6de05a62323847e4a8","d__Eukaryota","Ascomycota","Leotiomycetes",NA,NA,NA,NA
"ced0ad763119145a3af9146db62eea17","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA
"f0aabab39e4ab499c8908cfc0f5c0581","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"65d28c4e7af349f26ff6efc7285537da","d__Eukaryota","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA
"a4172ae561aeb9f4c6672424004a6518","d__Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured_bacterium"
"8568f69945fdc0aacabd5d54862fe593","d__Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geotalea",NA
"0682473dc7d1949da648b6d0f4dd3c82","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA
"459ec061d7472aff985e4bbaf26d4b1f","d__Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"05ce97dec00d649cff1326c8b1b6446c","d__Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Gomphonema",NA
"46ca8702f3128d2382b08ed8866826be","d__Eukaryota",NA,NA,NA,NA,NA,NA
