ASV	Kingdom
fun_324f1d12782a2ba758714f2368f7bf92	Fungi
fun_3386ce75410a8cb8e2231bf46ce924f5	Fungi
fun_33937cc1c82a2529593b9b0f935a8e90	Fungi
fun_347c44753e7c2ad2ae6a717b38a8afd7	Fungi
fun_3487e7a66b1216ab236c1206ef2508a3	Fungi
fun_355aca9bcdfb0c7d8402753c5a694b05	Fungi
fun_35c8eddcaf7b0073ec6884d8565d05e1	Fungi
fun_38040dfe5f383720bf6bea322fc619aa	Fungi
fun_3875ccee852875404be496b5604364c4	Fungi
fun_3a4e315f23c99e5c84668dfabba21f89	Fungi
fun_3c915d279379b12fc2ed878e1cacf341	Fungi
fun_3cb3c6cd8442b957da3c4552abe5155d	Fungi
fun_4193543e36d7cbfcdcb829680e8252cc	Fungi
fun_41f4e5b0f33bad087229b6f6815f964c	Fungi
fun_4221a9af1d4a745332f707c0406fc7bc	Fungi
fun_4234e9e9b70e7d95205dfd5784dc5843	Fungi
fun_42842fcfe5fb451b64c00a371bcdd108	Fungi
fun_45260e08bac348031173be2f3f20040e	Fungi
fun_45631d9c65545ed312005b3293a0946b	Fungi
fun_45f557eea46f548fbcdabafae321dacd	Fungi
fun_46bb506cd300f76f0f75d8a7f9a681b4	Fungi
fun_47353298fec24beb6ed1f5bad1c76001	Fungi
fun_47e902ad3c281748949aba844185f99c	Fungi
fun_47f2d9bfe6e31100ef4427446a831781	Fungi
fun_4934890b83229e4f3cb22c3b915e25d4	Fungi
fun_4998b3c120cb4912ddcc77878ac45df2	Fungi
fun_49fe0c39a70290e6d28a25b3ceb1498b	Fungi
fun_4bcb8c7f816497c699847b2ea5e2314a	Fungi
fun_4c6ff3598dcaf6a9a7e11a65442a751c	Fungi
fun_4f0ab95b8153df635b9641d712c2920f	Fungi
fun_4f2e20c8dc695a9a789127c38e1278e1	Fungi
fun_4f319a726690a5fd7721d15536198d81	Fungi
